OrderID,OrderDate,ShippingDate,CustomerID,ProductID,Quantity,Discount,Sales,Profit,ShippingDurationDays,OrderYear,OrderMonth,OrderQuarter,ProfitMargin
ORD-000001,2023-09-10 14:00:00,2023-09-11 14:00:00,CUST-0667,PROD-0185,10,0.0,4968.3,2617.8,1,2023,9,3,52.69005494837269
ORD-000002,2023-08-10 23:00:00,2023-08-13 23:00:00,CUST-0236,PROD-0067,10,0.1,5391.72,2380.92,3,2023,8,3,44.158821303776904
ORD-000003,2023-01-14 02:00:00,2023-01-16 02:00:00,CUST-0196,PROD-0076,10,0.0,1661.7,747.6,2,2023,1,1,44.99007040982127
ORD-000004,2023-12-11 08:00:00,2023-12-16 08:00:00,CUST-0084,PROD-0078,1,0.05,16.85,7.18,5,2023,12,4,42.61127596439169
ORD-000005,2023-08-29 16:00:00,2023-09-04 16:00:00,CUST-0603,PROD-0007,8,0.1,5048.35,2792.99,6,2023,8,3,55.32480909604127
ORD-000006,2023-04-03 18:00:00,2023-04-07 18:00:00,CUST-0683,PROD-0027,8,0.0,5049.36,2334.72,4,2023,4,2,46.23793906554494
ORD-000007,2023-08-29 11:00:00,2023-09-02 11:00:00,CUST-0760,PROD-0029,6,0.1,5245.4,1991.9,4,2023,8,3,37.97422503526901
ORD-000008,2023-12-10 03:00:00,2023-12-17 03:00:00,CUST-0584,PROD-0066,3,0.1,2595.16,1660.81,7,2023,12,4,63.99643952588665
ORD-000009,2023-07-30 22:00:00,2023-08-03 22:00:00,CUST-0466,PROD-0022,5,0.2,882.0,386.15,4,2023,7,3,43.78117913832199
ORD-000010,2023-10-09 01:00:00,2023-10-13 01:00:00,CUST-0479,PROD-0165,2,0.1,617.45,309.89,4,2023,10,4,50.188679245283005
ORD-000011,2023-05-10 10:00:00,2023-05-11 10:00:00,CUST-0815,PROD-0077,7,0.0,4308.92,1740.06,1,2023,5,2,40.38274091883813
ORD-000012,2023-12-03 17:00:00,2023-12-07 17:00:00,CUST-0856,PROD-0161,7,0.0,6760.74,4184.74,4,2023,12,4,61.89766209024455
ORD-000013,2023-04-07 16:00:00,2023-04-10 16:00:00,CUST-0140,PROD-0161,10,0.2,7726.56,4046.56,3,2023,4,2,52.372077612805704
ORD-000014,2023-11-17 14:00:00,2023-11-24 14:00:00,CUST-0469,PROD-0142,1,0.05,88.45,48.54,7,2023,11,4,54.878462408140194
