OrderID,OrderDate,ShippingDate,CustomerID,ProductID,Quantity,Discount,Sales,Profit
ORD-000001,2023-09-10 14:00:00,2023-09-11 14:00:00,CUST-0667,PROD-0185,10,0.0,4968.3,2617.8
ORD-000002,2023-08-10 23:00:00,2023-08-13 23:00:00,CUST-0236,PROD-0067,10,0.1,5391.72,2380.92
ORD-000003,2023-01-14 02:00:00,2023-01-16 02:00:00,CUST-0196,PROD-0076,10,0.0,1661.7,747.6
ORD-000004,2023-12-11 08:00:00,2023-12-16 08:00:00,CUST-0084,PROD-0078,1,0.05,16.85,7.18
ORD-000005,2023-08-29 16:00:00,2023-09-04 16:00:00,CUST-0603,PROD-0007,8,0.1,5048.35,2792.99
ORD-000006,2023-04-03 18:00:00,2023-04-07 18:00:00,CUST-0683,PROD-0027,8,0.0,5049.36,2334.72
ORD-000007,2023-08-29 11:00:00,2023-09-02 11:00:00,CUST-0760,PROD-0029,6,0.1,5245.4,1991.9
ORD-000008,2023-12-10 03:00:00,2023-12-17 03:00:00,CUST-0584,PROD-0066,3,0.1,2595.16,1660.81
ORD-000009,2023-07-30 22:00:00,2023-08-03 22:00:00,CUST-0466,PROD-0022,5,0.2,882.0,386.15
ORD-000010,2023-10-09 01:00:00,2023-10-13 01:00:00,CUST-0479,PROD-0165,2,0.1,617.45,309.89
ORD-000011,2023-05-10 10:00:00,2023-05-11 10:00:00,CUST-0815,PROD-0077,7,0.0,4308.92,1740.06
ORD-000012,2023-12-03 17:00:00,2023-12-07 17:00:00,CUST-0856,PROD-0161,7,0.0,6760.74,4184.74
ORD-000013,2023-04-07 16:00:00,2023-04-10 16:00:00,CUST-0140,PROD-0161,10,0.2,7726.56,4046.56
ORD-000014,2023-11-17 14:00:00,2023-11-24 14:00:00,CUST-0469,PROD-0142,1,0.05,88.45,48.54
ORD-000015,2023-05-17 17:00:00,2023-05-19 17:00:00,CUST-0602,PROD-0050,5,0.2,1911.76,632.36
ORD-000016,2023-12-24 15:00:00,2023-12-25 15:00:00,CUST-0045,PROD-0060,1,0.05,164.34,112.33
ORD-000017,2023-12-30 05:00:00,2024-01-02 05:00:00,CUST-0951,PROD-0130,9,0.0,2511.0,1516.86
ORD-000018,2023-10-10 13:00:00,2023-10-11 13:00:00,CUST-0416,PROD-0159,4,0.0,457.92,188.56
ORD-000019,2023-08-25 03:00:00,2023-08-31 03:00:00,CUST-0535,PROD-0165,3,0.2,823.27,361.93
ORD-000020,2023-05-30 16:00:00,2023-06-05 16:00:00,CUST-0032,PROD-0065,5,0.2,2031.28,620.03
ORD-000021,2023-09-05 15:00:00,2023-09-07 15:00:00,CUST-0426,PROD-0171,8,0.05,2289.8,1274.28
ORD-000022,2023-07-16 06:00:00,2023-07-21 06:00:00,CUST-0266,PROD-0028,9,0.05,3342.37,1657.93
ORD-000023,2023-02-05 08:00:00,2023-02-12 08:00:00,CUST-0375,PROD-0103,7,0.1,3783.84,2086.55
ORD-000024,2023-09-17 08:00:00,2023-09-24 08:00:00,CUST-0178,PROD-0073,1,0.1,417.33,139.33
ORD-000025,2023-06-02 18:00:00,2023-06-07 18:00:00,CUST-0147,PROD-0023,8,0.05,1150.94,736.7
ORD-000026,2023-08-17 17:00:00,2023-08-21 17:00:00,CUST-0098,PROD-0180,6,0.1,730.73,476.09
ORD-000027,2023-10-10 17:00:00,2023-10-14 17:00:00,CUST-0706,PROD-0100,8,0.1,4644.5,2477.54
ORD-000028,2023-04-07 22:00:00,2023-04-09 22:00:00,CUST-0057,PROD-0088,10,0.2,1252.88,723.18
ORD-000029,2023-04-30 13:00:00,2023-05-01 13:00:00,CUST-0136,PROD-0173,6,0.2,1681.54,422.5
ORD-000030,2023-12-28 12:00:00,2024-01-01 12:00:00,CUST-0502,PROD-0193,3,0.2,1661.95,745.84
ORD-000031,2023-01-19 04:00:00,2023-01-24 04:00:00,CUST-0119,PROD-0132,10,0.1,6384.15,4119.45
ORD-000032,2023-02-21 14:00:00,2023-02-22 14:00:00,CUST-0795,PROD-0194,9,0.2,2125.58,1103.09
ORD-000033,2023-01-08 23:00:00,2023-01-10 23:00:00,CUST-0669,PROD-0023,7,0.05,1007.08,644.62
ORD-000034,2023-02-08 15:00:00,2023-02-15 15:00:00,CUST-0421,PROD-0061,5,0.1,4172.62,1689.72
ORD-000035,2023-11-16 22:00:00,2023-11-20 22:00:00,CUST-0973,PROD-0049,2,0.1,978.91,416.57
ORD-000036,2023-12-12 17:00:00,2023-12-16 17:00:00,CUST-0601,PROD-0158,6,0.2,2452.32,1218.9
ORD-000037,2023-10-05 01:00:00,2023-10-10 01:00:00,CUST-0966,PROD-0104,2,0.05,1159.28,605.96
ORD-000038,2023-11-20 21:00:00,2023-11-23 21:00:00,CUST-0398,PROD-0196,4,0.0,2658.28,1116.2
ORD-000039,2023-08-11 03:00:00,2023-08-18 03:00:00,CUST-0870,PROD-0197,2,0.2,878.59,335.75
ORD-000040,2023-03-27 22:00:00,2023-03-30 22:00:00,CUST-0543,PROD-0124,1,0.0,142.01,79.61
ORD-000041,2023-06-16 01:00:00,2023-06-19 01:00:00,CUST-0867,PROD-0074,6,0.1,2928.2,1458.38
ORD-000042,2023-08-09 04:00:00,2023-08-11 04:00:00,CUST-0830,PROD-0146,9,0.2,3424.32,1178.37
ORD-000043,2023-10-17 21:00:00,2023-10-24 21:00:00,CUST-0572,PROD-0153,3,0.05,1661.26,649.36
ORD-000044,2023-03-31 02:00:00,2023-04-05 02:00:00,CUST-0719,PROD-0099,7,0.05,1900.7,1258.8
ORD-000045,2023-09-12 18:00:00,2023-09-14 18:00:00,CUST-0927,PROD-0061,4,0.2,2967.2,980.88
ORD-000046,2023-11-23 08:00:00,2023-11-27 08:00:00,CUST-0817,PROD-0186,5,0.0,801.05,365.8
ORD-000047,2023-08-27 09:00:00,2023-09-02 09:00:00,CUST-0648,PROD-0153,9,0.05,4983.8,1948.1
ORD-000048,2023-02-07 14:00:00,2023-02-10 14:00:00,CUST-0926,PROD-0042,10,0.1,8366.58,3471.38
ORD-000049,2023-11-24 13:00:00,2023-11-30 13:00:00,CUST-0569,PROD-0161,5,0.2,3863.28,2023.28
ORD-000050,2023-06-04 06:00:00,2023-06-08 06:00:00,CUST-0347,PROD-0075,8,0.0,7056.48,3078.16
ORD-000051,2023-05-02 12:00:00,2023-05-07 12:00:00,CUST-0794,PROD-0068,6,0.1,694.93,257.05
ORD-000052,2023-12-25 09:00:00,2023-12-26 09:00:00,CUST-0372,PROD-0184,7,0.1,5932.4,3010.25
ORD-000053,2023-01-05 18:00:00,2023-01-12 18:00:00,CUST-0913,PROD-0084,1,0.2,272.18,156.76
ORD-000054,2023-05-27 07:00:00,2023-06-01 07:00:00,CUST-0642,PROD-0173,6,0.05,1996.82,737.78
ORD-000055,2023-11-22 06:00:00,2023-11-27 06:00:00,CUST-0103,PROD-0091,5,0.05,3716.02,1505.02
ORD-000056,2023-11-18 03:00:00,2023-11-24 03:00:00,CUST-0118,PROD-0180,1,0.1,121.79,79.35
ORD-000057,2023-08-14 01:00:00,2023-08-19 01:00:00,CUST-0557,PROD-0058,6,0.05,5284.47,2199.39
ORD-000058,2023-02-16 09:00:00,2023-02-19 09:00:00,CUST-0444,PROD-0164,7,0.05,5870.69,3564.68
ORD-000059,2023-04-13 04:00:00,2023-04-20 04:00:00,CUST-0553,PROD-0088,9,0.1,1268.54,791.81
ORD-000060,2023-09-29 16:00:00,2023-10-02 16:00:00,CUST-0653,PROD-0121,3,0.1,2413.07,916.61
